x,y,z
1.001775095297227,-7.345266313919421,-6.185159218352609e-06
-1.8585600227170147,-7.608281847469889,-6.981553696867747e-06
-4.7209184974707075,-7.847231516416463,-8.47675621370947e-06
-7.58537684422082,-8.06315489634291,-0.019540237204229403
-10.452328319572082,-8.237907339770382,-0.05001583071895703
-13.322593614754037,-8.352731243044476,-0.050021292068805234
-16.17906017547349,-8.646879127521562,-0.09668322599465087
-19.04055241239189,-8.87366020636404,-0.1254220563958649
-21.909863433403622,-9.004479977035821,-0.15004592368746097
-24.777899422456994,-8.975275539288631,-0.15005628146472874
-27.636491051470102,-8.753669079148741,-0.18441702937916027
-30.363360636821263,-8.178682073735896,-0.24720039123351686
-33.130606871913564,-7.622822736486388,-0.25058172122844036
-35.92565386911097,-7.0640238111283065,-0.3189340014742125
-38.73358284942668,-6.555684416460059,-0.36452530355415913
-41.54861451047337,-6.083317692633573,-0.44744477535273064
-44.35334016614443,-5.555834742092311,-0.5082062573970962
-47.16693833239738,-5.071752931327957,-0.550181085398071
-49.983727165115404,-4.59961388550321,-0.5615879137344593
-52.79798676164177,-4.117978978328919,-0.6387693382055905
-55.63952349371202,-3.82015912315812,-0.7338926515108521
-58.50272282257039,-3.859272831720227,-0.7906680366404312
-61.37213586041573,-3.9894420312224144,-0.8327191449483116
-64.24141673461443,-4.118997111144651,-0.8893637437896909
-67.10936444320942,-4.279328936791655,-0.9532348547929774
-69.97747859039586,-4.434816171463973,-1.0189283473366832
-72.84578685474987,-4.578884832102425,-1.0536291267196605
-75.71752351956596,-4.617312349866893,-1.1326011139259364
-78.58384817391533,-4.607592063157552,-1.1778421654076308
-81.44630754422931,-4.543255128584608,-1.2656373434667223
-84.3041738941589,-4.444509149537782,-1.3643973825292548
-87.15769197762724,-4.338706892655915,-1.4615469118085636
-90.0167539008422,-4.233166421060845,-1.5550317182614495
-92.87511072681997,-4.173642643277683,-1.6416069434462779
-95.7367640776987,-4.113307468662879,-1.7290245937860838
-98.59489591025456,-4.113062510032015,-1.8153336853218933
-101.456747468619,-4.038187855018226,-1.8588057835358116
-104.31783894577364,-3.9716220141273966,-1.9452341369453894
-107.17642013069423,-3.9497661260525465,-2.0371241980240775
-110.03569367903714,-3.8343809721415054,-2.130821812014732
-112.89626212798468,-3.7856506017803087,-2.2354574392729676
-115.76004396086617,-3.86407548759088,-2.339637761700998
-118.63047768543291,-3.949283982119832,-2.4410709140883458
-121.49576942685945,-4.144533083203144,-2.543111095349519
-124.36378996970336,-4.28896779509786,-2.632366877139714
-127.23226158249568,-4.440259328977727,-2.7220784901245105
-130.0970000874069,-4.6467746884477785,-2.8024410079548483
-132.96240309236603,-4.84423459128999,-2.8631853889783976
-135.82725601546716,-5.0503680275150025,-2.9588598211036237
-138.69210553194677,-5.258318862346506,-3.058948257917765
-141.55758693380452,-5.456485128074405,-3.1597234414673703
-144.4218815592117,-5.675173996257531,-3.2601122387963644
-147.2856260558897,-5.8998330579223115,-3.3078220640607965
-150.14611742290592,-6.15930980362725,-3.351769715238894
-153.01284436880252,-6.313566854040491,-3.4161197579039015
-155.87982793312028,-6.492638133578592,-3.492046695150652
-158.7481571191466,-6.649570195301262,-3.5281808823289134
-161.6133033992906,-6.855677303030528,-3.593915824316066
-164.47789163167243,-7.0685112722188475,-3.6317873467472728
-167.34519902090324,-7.241246151515964,-3.6871690395523657
-170.20908355774782,-7.4620699197221025,-3.726593407837329
-173.0722963551349,-7.693921008781656,-3.802351588028407
-175.93804030974692,-7.89163903176782,-3.802430080186745
-178.79956134861382,-8.141353869263058,-3.8025098490755544
-181.66571516450296,-8.330515609372771,-3.802591025208553
-184.53123566834688,-8.532546728064204,-3.8026734488682523
-187.3968560585692,-8.733825549988014,-3.8309922660757847
-190.26246060205898,-8.935296578871469,-3.852842182524781
-193.12491285079503,-9.176617560775055,-3.8302051673848
-195.98732795616826,-9.417659676051073,-3.8030160755753366
-198.85222808453796,-9.626790881023943,-3.7460852117901364
-201.7171728590618,-9.837071771410784,-3.646956054237422
-204.58105840636404,-10.060245018001357,-3.5528488475102167
-207.44672994830287,-10.253142349220587,-3.503379275359427
-210.3134847717578,-10.433394481110357,-3.4569819929718806
-213.17681429685098,-10.658473177147059,-3.3568632304226886
-216.03942586571895,-10.89244883954038,-3.2727166680598128
-218.9053958632023,-11.082367250582639,-3.226492131294111
-221.76880482609184,-11.307182213678558,-3.1422022681072592
-224.63177808590248,-11.54140182706173,-3.07526089607889
-227.49887482530363,-11.717051390927281,-2.9940362516756274
-230.3660886188394,-11.889964533209621,-2.8959215242084215
-233.2319827776076,-12.083395666407018,-2.8097498203153175
-236.09991133327816,-12.24074638982103,-2.7405307093914053
-238.96340117700754,-12.469484234292656,-2.684292465414252
-241.82877609429414,-12.673878885998072,-2.5889686596370334
-244.69352505040493,-12.884824450109676,-2.5388342255046137
-247.55824005479136,-13.091846543343028,-2.476005777808922
-250.42409236558782,-13.286036656117343,-2.433165344696624
-253.2856084326247,-13.533037254856714,-2.3914595456569376
-256.1530942688642,-13.696645588003918,-2.327901893255363
-259.02143557919845,-13.844801845456903,-2.258223736687772
-261.88769355635486,-14.035172366381108,-2.2053869450906856
-264.7536851041942,-14.230374561718229,-2.149796100097344
-267.61834458933265,-14.44358766426937,-2.0890906854843667
-270.4829415865547,-14.653614325341085,-2.005746537046576
-273.3487092257253,-14.847062008700732,-1.9921205263670954
-276.21242986817265,-15.073116576902258,-1.9181122591458428
-279.0745060265781,-15.311184289203588,-1.8955647033041734
-281.93720443768007,-15.544145747581322,-1.822716614390039
-284.8028893332512,-15.74411482511896,-1.736828599921919
-287.6692235368233,-15.934217772826447,-1.7065005788671208
-290.5371096097049,-16.096414474571368,-1.6911572616836343
-293.4060909965218,-16.227593190126598,-1.6067623077991802
-296.2748068532968,-16.35927044785136,-1.60689519553381
-299.13899464040725,-16.579569580751023,-1.5845374189661214
-302.0033266472571,-16.797751592405895,-1.5224272638989649
-304.86515467581074,-17.042497637627612,-1.5073012354560595
-307.72846685398457,-17.273018357478605,-1.4738877218947226
-310.59223775106454,-17.49662288311094,-1.4575783739081545
-313.45888172952516,-17.682765612517386,-1.4077189288845355
-316.32488818923326,-17.87816145041574,-1.364896652375858
-319.1864998854519,-18.124751335180832,-1.3580037778810428
-322.0545705322487,-18.282219845102762,-1.3581482721846907
-324.91814799184067,-18.509064056946436,-1.3204713126211391
-327.7819311327638,-18.725661531449866,-1.2584410347359984
-330.6458387210239,-18.938247101975755,-1.25858920238112
-333.5130498545459,-19.11279225978896,-1.2587388569156996
-336.37898835635156,-19.3088346079144,-1.2588896755235366
-339.2470490111913,-19.47018336964254,-1.2284381341330661
-342.113124028977,-19.66154346275853,-1.2091953422771229
