x,y,z
1.457127910754793,-12.195662465813935,-1.1857664999226358e-05
-4.0715386486095815,-12.62646242508021,-1.3828393112369497e-05
-9.478205721717258,-13.062810138356724,-2.044405886980627e-05
-13.450082777864607,-13.19937256864716,-2.7854190263632006e-05
-16.048170089459376,-13.522468067264084,-0.10003453485188096
-20.307005738458045,-13.765616280603805,-0.10004717605607016
-24.567559451811245,-13.84665665035818,-0.10006231920115205
-28.77226710631701,-13.77447166766849,-0.20007971969051042
-33.206369670270185,-13.706724876566383,-0.20010108663593051
-37.76590699111126,-13.370279322336588,-0.3001257033501057
-42.163063881775294,-13.130429079505987,-0.40015271690984644
-45.01030379011642,-12.918343311906305,-0.5001717120754536
-49.65919308035211,-12.642957575583495,-0.5002056114649998
-53.796024669773075,-12.394219906291909,-0.6002386271162479
-56.706842829701635,-12.400860762085195,-0.7002638189129948
-59.902041914334134,-12.476337631538671,-0.800293134260639
-62.787946136733744,-12.574022123870645,-0.8003210449106266
-65.72539855570217,-12.650608981797383,-0.9003507478735262
-69.29776778512618,-12.828227391439814,-1.0003888636054983
-73.54199629517063,-12.96253563160182,-1.100436595346948
-77.0628142433488,-12.93585363712363,-1.2004780496975993
-79.95129287668752,-12.718203254405857,-1.2005131152789845
-82.66965649523843,-12.428383178638246,-1.3005471490915896
-85.59249782845903,-12.049734985039072,-1.4005849205392344
-88.83494350026004,-11.577815877749195,-1.5006283166725547
-91.74403792008465,-11.231364568161919,-1.6006688209506725
-95.24422998048853,-10.819396542690857,-1.7007193421577087
-98.51331013410024,-10.510688842184384,-1.8007684088377438
-102.1844733509543,-10.113149560183558,-1.9008254428347682
-105.949283763069,-9.700062904128963,-2.000886142801693
-109.35067187438474,-9.34249514207352,-2.1009429354676854
-112.41698811388146,-8.914981169039892,-2.2009955543504267
-115.13449019754418,-8.6995406354874,-2.301043664886821
-117.50833252541523,-8.643989197728702,-2.4010868222427475
-120.59527476084021,-8.682802381600833,-2.501144412789105
-122.47940146636627,-8.80712745186424,-2.601180436053133
-123.9322336693987,-8.888156994834302,-2.6012085746583553
-124.04478310189154,-8.897037678132083,-2.601210771905118
-126.01568275608705,-8.915880931496458,-2.701249379275587
-129.2770353102529,-9.074601391278476,-2.801314782808754
-132.80644731212558,-9.413186263964523,-2.9013876856033813
-135.121871866029,-9.53194940072016,-2.9014364275706894
-137.78353432669917,-9.681794233226471,-3.001493516132581
-140.73645180267638,-9.912685550782253,-3.1015582560542323
-143.29501676915567,-10.118045902503088,-3.2016154688738205
-145.88365175306473,-10.29897799018689,-3.3016743602192906
-148.4800217954795,-10.495453575744094,-3.301734511664088
-151.10645981127885,-10.680824422509309,-3.4017964169300883
-153.72774609940964,-10.903945217672726,-3.401859347041319
-156.23046562047375,-11.073772420543076,-3.501920367715427
-158.77958143724234,-11.214729944179414,-3.501983474828194
-161.8046676142712,-11.39897862141246,-3.6020597224742854
-164.5385029057109,-11.585453122100239,-3.6021299010712333
-167.25257456643894,-11.745279434969184,-3.702200688346555
-169.88760711283732,-11.926202623271596,-3.702270568439931
-172.47796448553075,-12.141545548078748,-3.702340400999723
-174.5141630595555,-12.305825646380363,-3.8023960284728515
-177.34508331941194,-12.487852170399428,-3.8024743591281354
-179.59005959322351,-12.65656757002644,-3.802537421945768
-181.87971234544793,-12.83860499686153,-3.8026025774792975
-184.49842233217814,-13.04950197647371,-3.8026781144206137
-187.42041436213663,-13.264831961190783,-3.8027636323362835
-190.69122075922724,-13.486813892021033,-3.9028609145525515
-193.58228326774855,-13.693259817896324,-3.9029483239709224
-196.80498481486808,-13.972976961892469,-3.8030474204099702
