x,y,z
1.001775095297227,-7.345266313919421,-6.185159218352609e-06
-1.87308697068391,-7.609632824121362,-6.98773889149197e-06
-4.750023110154206,-7.8493510390034995,-8.50570689872863e-06
-7.629044755261948,-8.06615270578829,-0.02063784304178903
-10.510644152617399,-8.240278764826908,-0.050015931744273774
-13.395466321691565,-8.356113063666788,-0.05002143639678983
-16.26616602450516,-8.655335253496158,-0.09837302774847795
-19.142574005410665,-8.878444517732936,-0.1290305081231108
-22.02653878948736,-9.007865365683958,-0.15004633930277325
-24.908901263875272,-8.967957705897966,-0.15152965803566407
-27.781264771070074,-8.739689605213911,-0.18617076728229562
-30.51311883504605,-8.138400516341093,-0.25008075394711343
-33.30099657691796,-7.5888568296378685,-0.2525176787158796
-36.110201322863446,-7.027103828837046,-0.32596697293454724
-38.93368216847041,-6.521829369214864,-0.3687527770141645
-41.76227475993964,-6.044627351192167,-0.44995737180792994
-44.58186890883952,-5.515019229959245,-0.51550186697995
-47.41011314735401,-5.030851945514631,-0.5501828821644972
-50.24133322918919,-4.5566647469423955,-0.5647920417893384
-53.069470531072014,-4.071125992897013,-0.6478000119259757
-55.928626318583056,-3.7925884053939467,-0.7435304390076181
-58.808729638706055,-3.873475800416914,-0.7955148979166969
-61.692817962724064,-4.003541117221042,-0.8380722819617585
-64.57657702095491,-4.134673342128693,-0.8951377032468755
-67.45894747485173,-4.299732153969752,-0.9632649507434055
-70.34169908768516,-4.453659350156225,-1.0232728548432335
-73.22491246058283,-4.586286391144814,-1.06239801493569
-76.11137689581679,-4.622171590005127,-1.143682766878396
-78.99126740062317,-4.606454904780746,-1.1837603142559496
-81.86782692840245,-4.5266869815135555,-1.2798750082535206
-84.73879940492817,-4.436729533114666,-1.3803560243414212
-87.60750978355009,-4.313406611616692,-1.4758280868917215
-90.48123621171841,-4.224281742082631,-1.5700818616082337
-93.35452794804091,-4.159475136761703,-1.6559914185218956
-96.23049756498199,-4.11458445864959,-1.744277152373499
-99.10352370388983,-4.101547868673652,-1.8239178706943457
-101.97992247016558,-4.0258049492297845,-1.874599561059493
-104.85495052359653,-3.966777647267328,-1.9619422684355627
-107.72904406122962,-3.933518836886087,-2.0546500585024745
-110.60134444420396,-3.8138239025553355,-2.150890020548875
-113.47756726341638,-3.790991196217714,-2.2556012655690854
-116.35775462960152,-3.874732744665436,-2.3627727494111745
-119.24220553843736,-3.9787723007251437,-2.459747713925736
-122.12163251745577,-4.1879016627376355,-2.552140075201076
-125.00491500917244,-4.319221768917098,-2.6566120962527386
-127.88789257185817,-4.475878740714535,-2.7413508217255993
-130.7660711992318,-4.698759020012995,-2.820760600771614
-133.64633720708986,-4.8927977380290075,-2.87694090490192
-136.5256966856544,-5.101598479301795,-2.9845058440030714
-139.40557765229727,-5.303265603373828,-3.0831042631618257
-142.28490657166404,-5.513519653756593,-3.1850497602503163
-145.16393242451218,-5.731112643573048,-3.273626109259516
-148.04124190433947,-5.967225021174063,-3.3223999637642523
-150.91684895649308,-6.216821929466776,-3.3587205610440694
-153.799182557071,-6.362187138688367,-3.444216120983277
-156.68096037478784,-6.53960586982654,-3.5019270752044145
-159.5633591638932,-6.704559134972814,-3.5517923126637143
-162.44260670838753,-6.918494235914386,-3.602071438114935
-165.32235699575273,-7.122842849806069,-3.6530686075904324
-168.20453257874962,-7.292234781063233,-3.699666423862103
-171.0813350178482,-7.53708686474393,-3.746357984533497
-173.9604441317424,-7.752360521101996,-3.8023758573733777
-176.83911299018285,-7.97123552936518,-3.8024551270742712
-179.7167714956458,-8.201141764977242,-3.802535710295812
-182.5970679397236,-8.398280041902975,-3.8026176861376335
-185.47721448261768,-8.600734356150642,-3.8027010451699383
-188.35758389233575,-8.800302474199494,-3.845862919198351
-191.2368978079629,-9.013592760933923,-3.852871443595104
-194.11326815227213,-9.26396048379361,-3.8147373496567285
-196.99103610387334,-9.49539250210378,-3.8030469729887955
-199.87080329386544,-9.702341663323262,-3.706594892552789
-202.75051132752125,-9.910929771180381,-3.6141715566228383
-205.62796752802356,-10.14751781817792,-3.5179111150851234
-208.5101207458198,-10.312191265350318,-3.5034139383665437
-211.3906788928121,-10.507450289000023,-3.4199458009659205
-214.26664335691183,-10.75487218295791,-3.3180760029741925
-217.14480520101858,-10.979380423691145,-3.2537027436195816
-220.02696609696977,-11.14773072224933,-3.201426462159452
-222.9022629795123,-11.409689691430616,-3.104500290809649
-225.78162543269838,-11.622396186477305,-3.0479730508704566
-228.6644583442171,-11.77889067958822,-2.955871976064192
-231.54481333208412,-11.976330963022953,-2.8544154234976196
-234.4269827789526,-12.140973954975449,-2.787175911440071
-237.30684352413175,-12.340509037706216,-2.7179832094115564
-240.1860977879108,-12.554769866385836,-2.640791008838441
-243.0656637689019,-12.764864991376847,-2.570163279567991
-245.9444406444211,-12.98056818374738,-2.50201195259196
-248.82499454297016,-13.173592061337944,-2.4655892688806285
-251.7025080804197,-13.404081421463438,-2.4081666130213373
-254.58085369423435,-13.62576011138534,-2.3602557989443484
-257.46519182719265,-13.748451325572539,-2.307013346702721
-260.3458782625245,-13.938297848005465,-2.2091154193569644
-263.2274747985922,-14.118842310618877,-2.202608100200276
-266.1071185903904,-14.328459453298027,-2.115483705407285
-268.9852677792656,-14.555564063593167,-2.0372807806450948
-271.86634096713453,-14.738167538347588,-2.005805504148187
-274.74503857556124,-14.958230167942384,-1.953546337273512
-277.6236597853309,-15.178775787967512,-1.9060541334635448
-280.4979852225795,-15.443667969677579,-1.8693160866115432
-283.3782051386024,-15.644938117948872,-1.7771115149492798
-286.25860435166817,-15.843760785629883,-1.7140351373670253
-289.14033952189277,-16.02148526903735,-1.7065672766091713
-292.0232840904687,-16.1680909354746,-1.6396102163856034
-294.90787344029866,-16.278443508744527,-1.60683162596656
-297.78820610045375,-16.47055878315073,-1.6058193694180478
-300.6661063987859,-16.70275642219353,-1.55336058077464
-303.5448480150305,-16.92146419093584,-1.5072380147176152
-306.42101600991384,-17.17110794219525,-1.4977242341677055
-309.2994080936563,-17.396485272212615,-1.45751540273455
-312.1793444246192,-17.59966889802997,-1.4295466077582746
-315.0601975845189,-17.791860584466964,-1.3894680517658755
-317.9384153587336,-18.015540734736682,-1.3579413536010623
-320.81805492014144,-18.21492879523432,-1.3580859261518152
-323.6981866680359,-18.41182407895044,-1.34074284589839
-326.57718074711494,-18.62567418361985,-1.2654707210109
-329.4535914551301,-18.865492409843494,-1.2585273103338386
-332.33599426935103,-19.028426683180975,-1.258677112586772
-335.21573355029784,-19.236581852832074,-1.2588282445393002
-338.097884542296,-19.407556082627693,-1.249781416320883
-340.9798134301095,-19.580073538360516,-1.2091345158296316
-343.86108825813824,-19.759111444875472,-1.1827208239008755
-346.74225683377654,-19.937175877181925,-1.1594459081086932
-349.62070345094855,-20.158483194005527,-1.1596034698073392
-352.50193841633836,-20.336362675704493,-1.1597624632924228
-355.38114859238556,-20.547397670102434,-1.1599226484741012
-358.259951740444,-20.76223368398853,-1.1550307115394625
-361.1367164286396,-21.006940486965586,-1.1102470245467377
-364.0149112615377,-21.231958174985383,-1.1526788107989032
-366.8948439526149,-21.426547168119512,-1.1605766815666805
-369.7730954236998,-21.648137755536055,-1.160743577405112
-372.6548902211854,-21.82466090129943,-1.172865057837964
-375.5343576818488,-22.03512932371187,-1.21108091027841
-378.4140399980103,-22.234223592724,-1.2112515014090706
-381.29465890773383,-22.404836629153245,-1.2614235270696579
-384.1723224072754,-22.63280870095317,-1.2615967999876083
-387.05318527089776,-22.823141533246343,-1.2617714027638263
-389.93125124626766,-23.051182065617052,-1.2619473983544927
-392.80861331757137,-23.285428518258442,-1.262124432043775
-395.6899330868463,-23.461515526057504,-1.2623029814157016
-398.56895166839115,-23.658102094737487,-1.300378314113338
-401.4445166604812,-23.911672430920518,-1.3126638691050623
-404.32330282019836,-24.12736066069744,-1.3345558084061788
-407.2037955081453,-24.31186422904012,-1.3630302117190847
-410.07893371807324,-24.571931885181428,-1.3632153488426662
-412.95564794701994,-24.810867750691465,-1.411539873413719
-415.81036700573344,-24.835923756622734,-1.4135865759291721
-418.6904069197723,-25.039083525330327,-1.4241678513181726
-421.5699083149069,-25.24971037352852,-1.4870820961047397
-424.4497981571974,-25.45030950370289,-1.5141573560264174
-427.3274262849402,-25.684874497809023,-1.5143501591655788
-430.20733030392194,-25.89078599414315,-1.517366415770259
-433.08824449273993,-26.079066653459662,-1.5595841160225512
-435.96784187009627,-26.288622311039845,-1.6116556641136908
-438.84940750531007,-26.469794555650676,-1.6151346938144273
-441.72872573946785,-26.67939530477618,-1.6153341299130433
-444.6078415669299,-26.891543536134336,-1.6155347459997929
-447.48898708079287,-27.077881890184685,-1.6657368335740181
-450.3699410172889,-27.264498221990436,-1.665940130471364
-453.25003734363463,-27.466569471645812,-1.7126667795520873
-456.1292961836282,-27.67858541573094,-1.7163506064055247
-459.0105775642951,-27.859218513869735,-1.721387671838019
-461.88872773842195,-28.085416292530788,-1.780555966490153
-464.76754315671593,-28.2975847015205,-1.8169761846843429
-467.6490152865964,-28.47483242545902,-1.821007625674755
-470.52947899187564,-28.67213700782908,-1.8834690761043207
-473.40950514338647,-28.87589315489476,-1.917613481158316
-476.2875987604252,-29.105608528573722,-1.9371501419374808
-479.16688520007085,-29.320047630424373,-2.0153031724319526
-482.0500828629277,-29.453752754899746,-2.0260519795437544
-484.9295076505731,-29.66401104472737,-2.0714231235797467
-487.8099059741698,-29.860058399789168,-2.118701726346745
-490.6877720740285,-30.089550643760433,-2.140988275163675
-493.57028427386933,-30.250690912078934,-2.2067267547618314
-496.45014125851986,-30.453026630916188,-2.219370325253526
-499.33009513966226,-30.65526117753083,-2.2991444627579547
-502.21153266719335,-30.833976791812113,-2.3218167322045566
-505.08998558368774,-31.056836996467876,-2.370050674622795
-507.972444605846,-31.217175818968997,-2.432629300170621
-510.8537657310188,-31.398214325321156,-2.4949012630705303
-513.7359705090275,-31.566386653589543,-2.558025594899024
-516.6184722068225,-31.72854623751904,-2.6030051069730966
-519.5031461003746,-31.83226567307034,-2.656482189958605
-522.3889530364777,-31.914112448072235,-2.7601386319700927
-525.2743925848501,-31.934701895755172,-2.771683058373103
-528.1587103428617,-31.8641212352418,-2.8095457554720404
-531.0405671448299,-31.77222876465615,-2.8721588622531833
-533.9137996174587,-31.542717000908006,-2.912597222144953
-536.7738376800814,-31.172962994419628,-2.9226350587500813
-539.6333516794618,-30.804797020430865,-2.922874200673288
-542.4771430297901,-30.347862159754612,-2.9231127227086215
-545.2879169237619,-29.692377228001853,-2.9233490197076124
-548.0879692379476,-28.99636279574555,-2.923585358370735
-550.8723526926309,-28.24947048078728,-2.923821411072188
-553.6232365344549,-27.379381823016242,-2.9240554594835007
-556.3481315526487,-26.42823853606165,-2.8742882348367296
-559.043138373253,-25.399692282965614,-2.874519173999966
-561.7125822081894,-24.306608847175653,-2.858371911486973
-564.3425713631784,-23.121275384772346,-2.824976398018896
-566.9103342466562,-21.806927520455595,-2.799805021226465
-569.4455654512835,-20.429548468547168,-2.7449304758513717
-571.9342538216954,-18.967958339520628,-2.7256377816901347
-574.3826450786497,-17.439169956993002,-2.7109064271125707
-576.786010249355,-15.840370145871855,-2.676065440760506
-579.1257440777397,-14.153759791129277,-2.6262730513018826
-581.4354720276556,-12.42370513252121,-2.616101231873794
